lineage,workload,global_rank,process,cumulative_host_ns,selected
base,react_tool,1,host_input_generate,209911710.0,True
base,react_tool,2,adapter_dispatch,49043627.0,True
base,react_tool,3,dag_schedule_gap,25172754.0,False
base,react_tool,4,mir_operator:RMSNormOp,20041529.0,False
base,react_tool,5,mir_operator:LinearOp,15899088.0,False
base,react_tool,6,token_preprocess_cpu,9484938.0,False
base,react_tool,7,h2d_stage,6920198.0,False
base,react_tool,8,agent_tool_execute_cpu,6382657.0,False
base,react_tool,9,weight_init,5908746.0,False
base,react_tool,10,d2h_stage,5491935.0,False
base,react_tool,11,mir_operator:TransposeOp,5093801.0,False
base,react_tool,12,mir_operator:AddOp,4155918.0,False
base,react_tool,13,mir_operator:ViewOp,3021809.0,False
base,react_tool,14,checksum_complete,2716238.0,False
base,react_tool,15,inter_operator_dispatch,2306427.0,False
base,react_tool,16,iteration_tail_sync,1044465.0,False
base,react_tool,17,pre_d2h_alloc,539770.0,False
base,planner_debate,1,host_input_generate,922181036.0,True
base,planner_debate,2,adapter_dispatch,123846691.0,False
base,planner_debate,3,mir_operator:RMSNormOp,55676489.0,False
base,planner_debate,4,mir_operator:LinearOp,36880538.0,False
base,planner_debate,5,dag_schedule_gap,30606805.0,False
base,planner_debate,6,token_preprocess_cpu,30574035.0,False
base,planner_debate,7,h2d_stage,24936536.0,False
base,planner_debate,8,d2h_stage,19930285.0,False
base,planner_debate,9,weight_init,17358345.0,False
base,planner_debate,10,mir_operator:TransposeOp,13430059.0,False
base,planner_debate,11,mir_operator:AddOp,11077291.0,False
base,planner_debate,12,mir_operator:ViewOp,8373273.0,False
base,planner_debate,13,checksum_complete,7896728.0,False
base,planner_debate,14,agent_tool_execute_cpu,7089556.0,False
base,planner_debate,15,inter_operator_dispatch,6513842.0,False
base,planner_debate,16,pre_d2h_alloc,1420993.0,False
base,planner_debate,17,iteration_tail_sync,1399924.0,False
base,react_moa_mcts,1,host_input_generate,2016623412.0,True
base,react_moa_mcts,2,adapter_dispatch,235764706.0,False
base,react_moa_mcts,3,mir_operator:RMSNormOp,97436210.0,False
base,react_moa_mcts,4,mir_operator:LinearOp,67037580.0,False
base,react_moa_mcts,5,token_preprocess_cpu,59118017.0,False
base,react_moa_mcts,6,h2d_stage,40168598.0,False
base,react_moa_mcts,7,d2h_stage,32711629.0,False
base,react_moa_mcts,8,dag_schedule_gap,29714397.0,False
base,react_moa_mcts,9,weight_init,28222565.0,False
base,react_moa_mcts,10,mir_operator:TransposeOp,24017468.0,False
base,react_moa_mcts,11,mir_operator:AddOp,20499153.0,False
base,react_moa_mcts,12,mir_operator:ViewOp,14316471.0,False
base,react_moa_mcts,13,checksum_complete,13089314.0,False
base,react_moa_mcts,14,inter_operator_dispatch,11259726.0,False
base,react_moa_mcts,15,agent_tool_execute_cpu,6494730.0,False
base,react_moa_mcts,16,pre_d2h_alloc,2583329.0,False
base,react_moa_mcts,17,iteration_tail_sync,1238540.0,False
