bucket,target_slices,actual_busy_frac,predicted_busy_frac,err_pct
0,134,0.1424,0.137,-3.8
1,59,0.1305,0.1338,2.6
2-3,141,0.1347,0.1307,-3.0
4-7,355,0.135,0.1345,-0.4
8-15,288,0.1403,0.1414,0.8
16-31,36,0.1539,0.1565,1.7
